has_spf,has_dkim,has_dmarc,domain_matches,auth_warn,has_suspect_subject,subject_is_uppercase,send_date_is_RFC2822_compliant,send_date_tz_is_valid,has_received_date,uppercase_body,script,images,https_only,mailto,links,bad_words_percentage,html,form,polarity,subjectivity,attachments,attach_is_executable,is_spam
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,True,False,0.1975,0.43916666666666665,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,True,False,0.1975,0.43916666666666665,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,True,False,0.1975,0.43916666666666665,False,False,1
False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.08885636221701797,0.41068826437678896,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.0,False,False,0.0,0.0,False,False,1
False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0.0,True,False,0.21875,0.66875,False,False,1
False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0.0,True,False,0.4000000000000001,0.7666666666666666,False,False,1
False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.10846165739022878,0.4830921459492888,False,False,1
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.0,0.0,False,False,1
False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.11014492753623188,0.2541407867494824,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.006329113924050633,False,False,0.1675,0.325,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.23277511961722494,0.5919989367357787,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.13333333333333333,0.4916666666666667,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,True,False,0.1975,0.43916666666666665,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,True,False,0.1975,0.43916666666666665,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.1926470588235294,0.380392156862745,False,False,1
False,True,False,False,False,True,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,0.0,True,False,0.0,0.0,False,False,1
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,True,False,-0.07142857142857142,0.14285714285714285,False,False,1
False,True,False,False,False,False,True,True,True,True,False,False,True,False,False,True,0.0,True,False,0.13333333333333333,0.4916666666666667,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.13333333333333333,0.4916666666666667,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.03835227272727272,0.21090909090909093,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.0,0.0,False,False,1
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.0,0.12142857142857143,False,False,1
